epoch;rand_init;layer;I(X,T);I(Y,T);valid_auc;train_auc;valid_loss;train_loss;mean_weight_layer;std_weight_layer;mean_bias_layer;std_bias_layer
0;1;1;3.616043083081122;0.42535977688438287;0.1501610279083252;0.15735317766666412;0.7195162773132324;0.7239076495170593;0.06526010483503342;0.35390159487724304;-0.3361184298992157;0.22380337119102478
0;1;2;3.7224823584573272;0.44005045436825974;0.1501610279083252;0.15735317766666412;0.7195162773132324;0.7239076495170593;0.061867598444223404;0.31538742780685425;0.09962757676839828;0.27303799986839294
0;1;3;2.0965053779854843;0.2818328762819302;0.1501610279083252;0.15735317766666412;0.7195162773132324;0.7239076495170593;0.2751772403717041;0.2490573674440384;-0.3138740658760071;0.1343945562839508
1;1;1;3.607130838538758;0.42338155039748937;0.1499597430229187;0.16120781004428864;0.7165919542312622;0.7209166288375854;0.06417490541934967;0.34984710812568665;-0.33996105194091797;0.2195175737142563
1;1;2;3.6907342051935554;0.4378481573967221;0.1499597430229187;0.16120781004428864;0.7165919542312622;0.7209166288375854;0.05860020965337753;0.31361401081085205;0.093757264316082;0.28055882453918457
1;1;3;2.102164162801545;0.2746285431516222;0.1499597430229187;0.16120781004428864;0.7165919542312622;0.7209166288375854;0.2717602252960205;0.24641300737857819;-0.3144683837890625;0.13355407118797302
2;1;1;3.5874379451481113;0.4139877759081756;0.15499193966388702;0.1690652221441269;0.7118405103683472;0.7158540487289429;0.06274105608463287;0.34445202350616455;-0.3450802266597748;0.21393528580665588
2;1;2;3.6606732936308752;0.4220298101273121;0.15499193966388702;0.1690652221441269;0.7118405103683472;0.7158540487289429;0.05414900556206703;0.31137025356292725;0.08606090396642685;0.2909441590309143
2;1;3;2.0983008700345636;0.2547406864978936;0.15499193966388702;0.1690652221441269;0.7118405103683472;0.7158540487289429;0.2673330307006836;0.24301302433013916;-0.314929336309433;0.13290219008922577
3;1;1;3.5263346227732306;0.40026297094575103;0.1694847047328949;0.18462200462818146;0.7064759731292725;0.7098784446716309;0.06105802208185196;0.33819979429244995;-0.35107362270355225;0.2076176553964615
3;1;2;3.6006910371421945;0.42355137244917085;0.1694847047328949;0.18462200462818146;0.7064759731292725;0.7098784446716309;0.048822641372680664;0.30895718932151794;0.077229805290699;0.3036983609199524
3;1;3;2.079183890534159;0.22431930769366648;0.1694847047328949;0.18462200462818146;0.7064759731292725;0.7098784446716309;0.26241335272789;0.23926280438899994;-0.3149213492870331;0.1329134851694107
4;1;1;3.4643914770568287;0.39212487379549454;0.1920289844274521;0.21024872362613678;0.7015040516853333;0.7040863633155823;0.05929930880665779;0.3316676616668701;-0.35742196440696716;0.20119574666023254
4;1;2;3.5494835573930335;0.3982005977915888;0.1920289844274521;0.21024872362613678;0.7015040516853333;0.7040863633155823;0.04297119379043579;0.30669596791267395;0.06833308935165405;0.3176425099372864
4;1;3;2.0463839772839814;0.18378275433406843;0.1920289844274521;0.21024872362613678;0.7015040516853333;0.7040863633155823;0.25745832920074463;0.23550361394882202;-0.3141660988330841;0.13398157060146332
